	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 08:45:36 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     1875     1892    17958    42807    41885     7675    12690      2615     26120   789967  1204796  2379626  2133730
              64       8     8319     8575    66529    66794    68377    19827    30858      8532     34187  1029254  1421755  2467108  3057153
              64      16    17120    17607    42082    91841    87786    23281    36056     18851     35108  1066042  1138375  1638743  2067979
              64      32    24131    15919   103730   126215   117026    23897    24853     25276     22988  1310683  2133730  2133730  2444640
              64      64   238015   231050   191629   199312   181767   242312   139461    241440     54695  1119387  1734015  1204796  1363961
             128       4     3443     3887    32636    42131    41764    17551    23791      1812     24619   859260  1359835  2784517  3199360
             128       8     7841     7973    70328    72444    71432    26556    40855      7258     43553   955616  1539168  3053774  3468030
             128      16    14260     7793    36302    96165    93632    17178    41966      7875     33861  1229084  1778862  3124872  3445772
             128      32    31411    31015    76143   128628   124137    42467    57972     34952     68271  1291158  2035099  2673584  2608629
             128      64    86608    69643   182807   205162   193969    45502    44443     47214     47528  1206978  2098744  2027414  2066432
             128     128   274782   179807   248114   252430   224556   319983   122831    334331    109391  1303699  1471662  1391557  1332828
             256       4     3197     1957    25658    34478    35779    17014    34491      3203     25837   981656  1463250  2975955  3285566
             256       8     6798     7493    72175    73268    72708    30125    47389      4420     41012  1153561  1743637  3511189  3823789
             256      16    13315    14689    71789    96971    96060    50373    78359     10979     52467  1117543  1871263  3557725  3823789
             256      32    31276    30060    89227   128841   126474    64922    94746     30928     83301  1312954  1755037  3368013  3605511
             256      64    32778    44498   125191   208097   201082    80830   104573     63318    112980  1534342  1763685  2783115  2228578
             256     128   153024    76735   269188   289902   270613    91563    92653     92152    108067  1201314  2205688  2081678  2065659
             256     256   348300   348752   347848   347848   319204   348752   258061    347848    102438  1422540  2371308  1495866  1398455
             512       4     3010     2833    23734    24814    27039    12042    37942      2955     29223   980673  1510391  3177664  3068685
             512       8     6378     3939    48480    62264    61761    28200    53040      4907     43515  1064794  1625889  3610395  3877684
             512      16    12166     7913    78504    93638    87403    45690    81267     12059     53848  1176828  1803387  3304808  3849877
             512      32    25801    15999    73977   127018   127904    61185    81787     28592    101849  1293037  1827947  3320137  3970896
             512      64    34817    56839   173033   208720   206037   112901   119905     34517    114821  1322500  1947291  2942541  3068685
             512     128   113175    72235   251969   294425   278250    93243   163832    133360    221737  1475116  1829505  2638816  2638816
             512     256   147890   150417   271736   291547   285843   210603   246050    271359    222426  1242896  2073249  2055390  2014892
             512     512   351136   361297   340017   325879   336395   398730   236825    400291    238826  1357615  2022482  2405320  2548017
            1024       4     2491     2967    24110    24651    25430    14873    32221      2491     29001   995171  1450117  3083680  3239514
            1024       8     6013     5760    47073    47103    48659    22967    49337      4935     47512  1144163  1646334  3709575  3643490
            1024      16    11724    10674    82734    87177    73526    36090    68270     11289     61849  1232130  1765437  3955557  4162573
            1024      32    20556    16953    97116   105220   108511    97440    96213     18573     90466  1137496  1756054  3680961  3794792
            1024      64    48694    33612   164736   183806   179805   142359   154401     34076    143395  1245710  1851434  3294177  3414650
            1024     128    78382    77511   224060   259298   247465   121543   183774    123270    183319  1262555  1805514  2877110  3112733
            1024     256   100559   176982   236705   290911   274161   191724   178616    131635    224905  1357961  1858644  2638501  2559871
            1024     512   271991   188270   316532   357919   336390   253722   285156    316929    297666  1202127  2003431  2723840  2767722
            1024    1024   333103   368356   264732   270246   362114   318906   362603    360321    236223  1245710  1925298  2326879  2255990
            2048       4     2582     2559    25302    25619    25918    15851    31242      2549     27766  1017908  1459680  3261415  3530875
            2048       8     5092     5072    48557    49187    48352    28527    47896      5121     45392  1130283  1648801  3751381  3771144
            2048      16     9471    10174    82232    89155    71359    41745    65575     12156     67341  1201254  1790388  3799501  4112366
            2048      32    20556    18863    94069   102109   102200    62752    97398     19609     91217  1227693  1813827  3857514  3892474
            2048      64    36879    36799   148965   167979   167553   108663   132883     39473    140823  1235996  1807720  3436240  3717289
            2048     128    64826    62616   232885   228008   234187   127188   191903     76133    261865  1263447  1791882  3374151  3402216
            2048     256   117998   108807   258851   270082   248876   201969   239983    146286    260555  1241175  1691329  3131805  3051697
            2048     512   195849   178615   292494   326157   329421   261730   218752    269439    304490  1285570  1708146  2715922  2702252
