	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 12:28:01 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20356    24381    13021    17601    17387    23844    16435     23713     14090   831569  1204796  1933893  2801873
              64       8    35936    37471    25941    27901    27788    38464    25776     39628     18973   969761  1421755  1255511  3057153
              64      16    58180    61066    16675    44326    40507    63238    13375     61010     20929  1029254  1690338  2203800  2772930
              64      32    95808    98769    63931    66529    68238    97125    23950     97407     21585  1210227  2067979  2133730  2467108
              64      64   137885   138812   110932   105774   105608   143793    61247    139099     41178  1066042  1722886  1310683   866463
             128       4    21069    24864    14977    17792    17959    24316    16660     24381     17684  1022989  1471662  2727923  3106789
             128       8    36601    40251    21784    28636    29051    39288    22385     40712     19962  1102844  1684006  2969325  3445772
             128      16    60871    65211    23778    43008    42895    64872    41301     65433     35330  1185654  1852520  2905056  3380677
             128      32    99534   103646    46044    74165    72689   106315    59926    103387     50797  1440082  2098744  2784517  3124872
             128      64   138840   147136    42724   117021   117869   147784    49743    152225     40712  1196221  2098744  1406136  2132084
             128     128   217373   214421   181264   177021   173195   210141   160221    210553     82205  1220700  2027414  1421023  1359835
             256       4    21195    25012    15689    18148    17828    24968    15578     24617     15439  1128110  1600674  3087188  3368013
